"price","nom","km","year","fuel","power","phone","city","cp","type","url","marque","site","ref","dateScrap"
19500,,78500,2010,,231,,"Bruxelles","1030",,"http://fr.ww3.autoscout24.be/classified/297406662?asrc=st|as","Mercedes-Benz","Autoscout24","AS_297406662","2016-10-06T19:59:45.430Z"
5200,,17000,2011,,68,,"ekeren","2180",,"http://fr.ww3.autoscout24.be/classified/297406511?asrc=st|as","Peugeot","Autoscout24","AS_297406511","2016-10-06T19:59:54.930Z"
19500,,23000,2016,,116,,"Estinnes","7120",,"http://fr.ww3.autoscout24.be/classified/297406265?asrc=st|as","Kia","Autoscout24","AS_297406265","2016-10-06T20:00:04.990Z"
18950,,42500,2012,,116,,"Schoten","2900",,"http://fr.ww3.autoscout24.be/classified/297406193?asrc=st|as","MINI","Autoscout24","AS_297406193","2016-10-06T20:00:15.533Z"
16700,,30600,2015,,131,,"Tarcienne","5651",,"http://fr.ww3.autoscout24.be/classified/297406156?asrc=st|as","Renault","Autoscout24","AS_297406156","2016-10-06T20:00:26.397Z"
12999,,44250,2014,,116,,"Zulte","9870",,"http://fr.ww3.autoscout24.be/classified/297186255?asrc=st|as","Opel","Autoscout24","AS_297186255","2016-10-03T13:32:18.692Z"
29999,,12000,2016,,150,,"Riemst","3770",,"http://fr.ww3.autoscout24.be/classified/297186140?asrc=st|as","Volkswagen","Autoscout24","AS_297186140","2016-10-03T13:32:31.498Z"
4450,,113500,2010,,75,,"Leuven","3000",,"http://fr.ww3.autoscout24.be/classified/297185884?asrc=st|as","Skoda","Autoscout24","AS_297185884","2016-10-03T13:32:38.539Z"
19500,,78500,2010,,231,,"Bruxelles","1030",,"http://fr.ww3.autoscout24.be/classified/297406662?asrc=st|as","Mercedes-Benz","Autoscout24","AS_297406662","2016-10-06T19:59:45.430Z"
5200,,17000,2011,,68,,"ekeren","2180",,"http://fr.ww3.autoscout24.be/classified/297406511?asrc=st|as","Peugeot","Autoscout24","AS_297406511","2016-10-06T19:59:54.930Z"
19500,,23000,2016,,116,,"Estinnes","7120",,"http://fr.ww3.autoscout24.be/classified/297406265?asrc=st|as","Kia","Autoscout24","AS_297406265","2016-10-06T20:00:04.990Z"
